Unique ID,Document ID,Payee Name,Issue Date,Agency,Department,Check Amount,Expense Category,Contract ID,Contract Purpose,Capital Project,Spending Category,Fiscal year,Calendar year
1,20130341561-1-DSB-EFT,NEW YORK PUBLIC LIBRARY,2013-03-27,New York Public Library,SYSTEMWIDE SERVICES,8583967,PAYMENTS TO LIBRARIES,PON10352013037006,,,Contracts,2013,2013
2,20130386364-1-DSB-EFT,NEW YORK PUBLIC LIBRARY,2013-04-24,New York Public Library,SYSTEMWIDE SERVICES,8583967,PAYMENTS TO LIBRARIES,PON10352013037006,,,Contracts,2013,2013
3,20130308677-1-DSB-EFT,NEW YORK PUBLIC LIBRARY,2013-03-04,New York Public Library,SYSTEMWIDE SERVICES,8583967,PAYMENTS TO LIBRARIES,PON10352013037006,,,Contracts,2013,2013
4,20130261259-1-DSB-EFT,NEW YORK PUBLIC LIBRARY,2013-01-29,New York Public Library,SYSTEMWIDE SERVICES,7573198,PAYMENTS TO LIBRARIES,PON10352013037006,,,Contracts,2013,2013
5,2013FSPP002-1-015-MD1,NEW YORK PUBLIC LIBRARY,2013-06-28,New York Public Library,LUMP SUM-BORO OF MANHATTAN,7417686,PAYMENTS TO LIBRARIES,,,,Others,2013,2013
6,2013FSPP002-1-015-MD1,NEW YORK PUBLIC LIBRARY,2013-06-28,New York Public Library,LUMP SUM- BOR OF BRONX,7264977,PAYMENTS TO LIBRARIES,,,,Others,2013,2013
7,2013FSPP002-1-015-MD1,NEW YORK PUBLIC LIBRARY,2013-06-28,New York Public Library,SYSTEMWIDE SERVICES,5108370,PAYMENTS TO LIBRARIES,,,,Others,2013,2013
8,20130128670-1-DSB-EFT,NEW YORK PUBLIC LIBRARY,2012-10-17,New York Public Library,LUMP SUM-BORO OF MANHATTAN,3697611,PAYMENTS TO LIBRARIES,PON10352013037003,,,Contracts,2013,2012
9,20130291631-1-DSB-EFT,NEW YORK PUBLIC LIBRARY,2013-02-20,New York Public Library,"CITY COUNCIL FUNDING FOR ACQUISITION, CO",3658553,CONSTRUCTION-BUILDINGS,CT185020121438088,Renovation and Technology Upgrades at three NYPL locations,850LNCM10DCH010,Capital Contracts,2013,2013
10,20130128670-1-DSB-EFT,NEW YORK PUBLIC LIBRARY,2012-10-17,New York Public Library,LUMP SUM- BOR OF BRONX,3621489,PAYMENTS TO LIBRARIES,PON10352013037004,,,Contracts,2013,2012
11,20130185157-1-DSB-EFT,NEW YORK PUBLIC LIBRARY,2012-12-03,New York Public Library,LUMP SUM-BORO OF MANHATTAN,3572370,PAYMENTS TO LIBRARIES,PON10352013037003,,,Contracts,2013,2012
12,20130220665-1-DSB-EFT,NEW YORK PUBLIC LIBRARY,2013-01-02,New York Public Library,LUMP SUM-BORO OF MANHATTAN,3572370,PAYMENTS TO LIBRARIES,PON10352013037003,,,Contracts,2013,2013
13,20130152489-1-DSB-EFT,NEW YORK PUBLIC LIBRARY,2012-10-31,New York Public Library,LUMP SUM-BORO OF MANHATTAN,3572370,PAYMENTS TO LIBRARIES,PON10352013037003,,,Contracts,2013,2012
14,20130152489-1-DSB-EFT,NEW YORK PUBLIC LIBRARY,2012-10-31,New York Public Library,LUMP SUM- BOR OF BRONX,3498826,PAYMENTS TO LIBRARIES,PON10352013037004,,,Contracts,2013,2012
15,20130185157-1-DSB-EFT,NEW YORK PUBLIC LIBRARY,2012-12-03,New York Public Library,LUMP SUM- BOR OF BRONX,3498826,PAYMENTS TO LIBRARIES,PON10352013037004,,,Contracts,2013,2012
16,20130220665-1-DSB-EFT,NEW YORK PUBLIC LIBRARY,2013-01-02,New York Public Library,LUMP SUM- BOR OF BRONX,3498826,PAYMENTS TO LIBRARIES,PON10352013037004,,,Contracts,2013,2013
17,2013FSPP002-1-015-MD1,NEW YORK PUBLIC LIBRARY,2013-06-28,New York Public Library,LUMP SUM-BORO OF STATEN ISL,3141125,PAYMENTS TO LIBRARIES,,,,Others,2013,2013
18,20130435104-1-DSB-EFT,NEW YORK PUBLIC LIBRARY,2013-05-24,New York Public Library,SYSTEMWIDE SERVICES,2569964,PAYMENTS TO LIBRARIES,PON10352013037006,,,Contracts,2013,2013
19,20130128670-1-DSB-EFT,NEW YORK PUBLIC LIBRARY,2012-10-17,New York Public Library,LUMP SUM-BORO OF STATEN ISL,1565806,PAYMENTS TO LIBRARIES,PON10352013037005,,,Contracts,2013,2012
20,20130152489-1-DSB-EFT,NEW YORK PUBLIC LIBRARY,2012-10-31,New York Public Library,LUMP SUM-BORO OF STATEN ISL,1512771,PAYMENTS TO LIBRARIES,PON10352013037005,,,Contracts,2013,2012
21,20130185157-1-DSB-EFT,NEW YORK PUBLIC LIBRARY,2012-12-03,New York Public Library,LUMP SUM-BORO OF STATEN ISL,1512771,PAYMENTS TO LIBRARIES,PON10352013037005,,,Contracts,2013,2012
22,20130220665-1-DSB-EFT,NEW YORK PUBLIC LIBRARY,2013-01-02,New York Public Library,LUMP SUM-BORO OF STATEN ISL,1512771,PAYMENTS TO LIBRARIES,PON10352013037005,,,Contracts,2013,2013
23,20130487655-1-DSB-EFT,NEW YORK PUBLIC LIBRARY,2013-06-26,New York Public Library,SYSTEMWIDE SERVICES,1506751,PAYMENTS TO LIBRARIES,PON103513HEALTHBL,,,Contracts,2013,2013
24,20130401934-1-DSB-EFT,NEW YORK PUBLIC LIBRARY,2013-05-01,New York Public Library,"CITY COUNCIL FUNDING FOR ACQUISITION, CO",1434632,CONSTRUCTION-BUILDINGS,CT185020121438088,Renovation and Technology Upgrades at three NYPL locations,850LNCM10DCH010,Capital Contracts,2013,2013
25,20130291631-1-DSB-EFT,NEW YORK PUBLIC LIBRARY,2013-02-20,New York Public Library,"CITY COUNCIL FUNDING FOR ACQUISITION, CO",1008256,CONSTRUCTION-BUILDINGS,CT185020121438088,Renovation and Technology Upgrades at three NYPL locations,850LNCM10DCH030,Capital Contracts,2013,2013
26,20130249169-1-DSB-EFT,ACCUNET SOLUTIONS INC,2013-01-22,New York Public Library,400-037-008,997000,CAPITAL PURCHASED EQUIPMENT,CT103520131411583,Isilon Repository System,037LNCM13IRS003,Capital Contracts,2013,2013
27,20130128670-1-DSB-EFT,NEW YORK PUBLIC LIBRARY,2012-10-17,New York Public Library,CONSULTANT & ADVISORY SVCS,908085,PAYMENTS TO LIBRARIES,PON10352013037007,,,Contracts,2013,2012
28,20130185157-1-DSB-EFT,NEW YORK PUBLIC LIBRARY,2012-12-03,New York Public Library,SYSTEMWIDE SERVICES,797911.36,PAYMENTS TO LIBRARIES,PON103513BTOPFED#2,,,Contracts,2013,2012
29,20130249169-1-DSB-EFT,ACCUNET SOLUTIONS INC,2013-01-22,New York Public Library,400-037-D08,658000,CAPITAL PURCHASED EQUIPMENT,CT103520131411583,Isilon Repository System,037LNCM13IRS002,Capital Contracts,2013,2013
